,FIRE_NAME,YEAR,SDC,MAX_TMMX,MAX_TMMN,MIN_RMAX,MAX_BI,MAX_ERC
317,NM3385210873820060617_UNNAMED,2006,0.0124,30.85,13.15,22.6,84,95
318,NM3610510513020060412_OJO_FELIZ,2006,0.0067,23.35,5.45,19.6,96,85
319,NM3621110689420060624_BEAR_PAW,2006,0.0067,29.05,11.75,43.5,62,84
320,NM3626710493820060616_RIVERA_MESA,2006,0.0095,33.35,12.85,29.4,92,86
321,AZ3136511064720070514_SAN_ANTONIO,2007,0.0321,31.65,12.85,29.3,113,94
322,AZ3189611160020070707_ALAMBRE,2007,0.0094,35.35,23.65,31.5,75,87
323,AZ3337010926020070702_SQUAW,2007,0.0137,34.55,18.55,16,108,104
324,AZ3355910935720070630_CHITTY,2007,0.0075,29.15,12.35,15.2,97,97
325,AZ3435111101420070513_PROMONTORY,2007,0.0133,29.15,10.85,27.6,101,89
326,AZ3489211154620070706_BIRDIE,2007,0.007,29.25,13.55,33.8,72,93
327,AZ3553310941120070703_OAK_RIDGE_3,2007,0.0022,32.95,15.35,13.5,85,102
328,AZ3618111195420070719_ROOSEVELT_WFU,2007,0.0076,33.55,17.15,36,72,91
329,AZ3623511201120071019_UNCLE_JIM_RX,2007,0.0138,19.45,3.65,35,89,78
330,AZ3634511226920071019_NORTHWEST_RX,2007,0.0143,21.95,5.25,34.7,84,80
331,AZ3663911248120070705_SLIDE,2007,0.0107,37.95,19.95,10.1,99,114
332,AZ3679411373720070705_BLACK_ROCK_GULCH,2007,0.009,35.95,23.85,7.4,95,118
333,AZ3691611372820070718_RADIO,2007,0.0155,32.45,22.45,17.5,97,110
334,NM3312210805620070603_LOCO_WFU,2007,0.0215,30.55,16.45,25.7,141,85
335,NM3329410834620070622_WOODLAND,2007,0.0145,33.45,16.25,19.2,90,98
336,NM3355710845420070622_HL_WFU,2007,0.009,30.15,14.75,21.3,90,96
337,NM3459310641120071118_OJO_PEAK,2007,0.004,14.15,2.85,31.2,66,79
338,AZ3207011051220080621_DISTILLERY,2008,0.0236,35.75,20.35,17.9,84,105
339,AZ3303711029820080621_CRYSTAL_PEAK,2008,0.0423,33.25,18.65,19.2,84,102
340,AZ3346810936720080622_HOT_AIR,2008,0.0185,28.75,17.75,27.9,89,97
341,AZ3351410936120080422_EAGLE,2008,0.0263,22.75,6.35,11.9,141,104
342,AZ3418511231120080628_LANE_2,2008,0.0041,35.55,20.45,25,80,102
343,AZ3542411201620080805_MARTEEN_WFU,2008,0.0094,28.95,13.45,54.1,41,48
344,AZ3587211195920080506_TWENTY_TWO_WFU,2008,0.0358,30.75,9.35,32,110,88
345,AZ3594611209020080429_X_FIRE,2008,0.0136,23.65,6.25,19.1,158,95
346,NM3231910658620080614_DRIPPING_SPRINGS,2008,0.0383,34.25,19.95,12.3,91,108
347,NM3314010570120080501_SOUTH_TULAROSA,2008,0.0046,22.45,6.35,19.2,160,97
348,NM3323010550020080604_ROGERS_PASTURE,2008,0.0222,31.75,15.55,17.5,122,98
349,NM3444210707520080530_LADRONE_RX,2008,0.0116,34.05,13.35,17.6,114,99
350,NM3459410641220080201_UNNAMED,2008,0.0063,9.25,-3.35,51.5,53,53
351,NM3468610638420080415_TRIGO,2008,0.0057,23.45,2.85,17.4,95,91
352,NM3476310635520080623_BIG_SPRING,2008,0.0038,29.95,14.35,33,78,91
353,NM3686510484320080619_WEST_FORK,2008,0.006,28.75,10.45,44.2,59,74
354,AZ3153610909020090301_HOG,2009,0.0192,26.45,6.45,16.7,90,87
355,AZ3176611155820090611_ELK_HORN,2009,0.0161,33.65,20.15,35.2,84,87
356,AZ3234511064520090711_GUTHRIE,2009,0.0107,37.55,23.65,43.4,63,71
357,AZ3240311027720090505_MULESHOE,2009,0.0181,30.95,18.35,28.1,89,96
358,AZ3329111078320090530_PIONEER,2009,0.0134,33.35,16.85,15.1,99,92
359,AZ3355811022720090714_BEAR_CANYON,2009,0.0115,33.55,17.45,41.3,68,76
360,AZ3362211031720091019_HILLTOP_A_AND_B_RX,2009,0.0254,22.55,7.65,12,119,85
361,AZ3363010947320090907_RENO,2009,0.0129,24.75,9.55,68.4,39,37
362,AZ3391411140820091008_MOUNT_ORD,2009,0.0162,29.95,14.05,28.1,77,80
363,AZ3396711091020090705_BOARD,2009,0.0171,35.55,19.35,30.4,69,78
364,AZ3443311124220090720_RIM,2009,0.0127,34.35,17.05,39.6,71,72
365,AZ3444811094120090807_CHEVLON_COMPLEX_CROSSING,2009,0.0106,29.05,15.55,24.2,86,77
366,AZ3449511134920090705_INDEPENDENCE,2009,0.0165,31.85,16.15,32.4,76,75
367,AZ3450711077720090806_CHEVLON_COMPLEX_WEIMER,2009,0.0041,31.05,15.85,39.9,70,73
368,AZ3450911122620090704_FOURTH_OF_JULY_COMPLEX,2009,0.0195,31.75,16.55,30.6,76,74
369,AZ3461811137920090902_BOW,2009,0.0203,26.75,10.95,68.2,49,44
370,AZ3501611190220090816_TAYLOR,2009,0.0037,32.85,15.35,31.3,82,88
371,AZ3506011210720090701_CROSS,2009,0.0317,31.45,14.35,28.3,77,78
372,AZ3521611224320091002_TWIN,2009,0.0085,24.35,7.45,18.2,84,80
373,AZ3547411189620090720_WILDHORSE_COMPLEX,2009,0.0113,30.65,13.55,47.7,63,64
374,AZ3586611185920090728_ANDERSON,2009,0.0097,30.95,13.95,24.4,93,84
375,AZ3589511204420090723_MILLER,2009,0.0178,31.75,15.45,42.2,73,71
376,AZ3593111209020090723_RAE,2009,0.0412,32.55,16.35,39.5,90,74
377,AZ3620911198220090729_ASPEN,2009,0.0089,31.15,14.55,24.1,96,91
378,AZ3664011224120090903_FRACAS,2009,0.0221,25.75,12.65,47.8,66,67
379,NM3138510881120090610_PASCO,2009,0.0142,32.15,15.75,36.5,112,90
380,NM3158910901520090530_SKELETON,2009,0.016,33.15,16.85,13,106,95
381,NM3295410721920090501_TIMBER_MOUNTAIN_LC,2009,0.0126,34.75,15.35,11.6,108,108
382,NM3315110800320090601_MEASON,2009,0.0082,26.55,14.15,19.8,105,85
383,NM3325910796720090528_DIAMOND,2009,0.0112,26.55,14.45,18.9,105,86
384,NM3374210844120090719_MORAGA,2009,0.0116,27.45,15.15,44.2,45,58
385,NM3377010850120090530_WILLOW,2009,0.0061,25.35,9.95,21.6,105,87
386,NM3385610624320090608_UPPER_TAYLOR_RX,2009,0.0184,30.85,14.65,24.7,84,88
387,NM3387010614120090606_MESA,2009,0.0146,30.05,16.05,23.4,110,90
388,NM3396910709620090420_EAST_MAGDALENA_RX,2009,0.0142,25.75,9.85,11.2,112,96
389,NM3472710903920090903_JARALOSA,2009,0.0103,28.85,11.45,69,45,61
390,NM3574610634920090702_SAN_MIGUEL,2009,0.01,33.15,18.45,30.9,58,71
391,AZ3177410936420100624_BRUSHY,2010,0.0255,31.95,18.35,25.4,94,102
392,AZ3183610919520100526_HORSESHOE,2010,0.0315,32.75,12.85,25.4,100,102
393,AZ3362810924420100607_PARADISE,2010,0.0059,26.35,9.45,33.5,114,93
394,AZ3414910941720101120_TURKEY,2010,0.0053,15.55,0.15,32.1,107,70
395,AZ3469611098520101216_BAR_T_BAR_INIT_RX,2010,0.024,9.55,4.35,58.2,54,38
396,AZ3532911160120100620_SCHULTZ,2010,0.002,27.85,11.95,21.6,111,95
397,AZ3536511197420100616_EAGLE_ROCK,2010,0.0045,29.35,10.65,25.6,111,94
398,AZ3549811200420100830_HOBBLE,2010,0.011,29.95,13.15,35.7,91,71
399,AZ3586611185720100724_TANK,2010,0.0124,28.35,13.65,78.5,43,61
400,AZ3592410919820100902_FLUTED_ROCK_LAKE_RX,2010,0.0328,27.45,11.65,43.7,66,65
401,AZ3633611232020100625_SAFFRON,2010,0.0098,32.15,12.75,34.4,104,95
402,AZ3669911364820100808_MUSTANG,2010,0.0113,33.75,21.75,22.7,76,87
403,NM3276210548920101123_RAILSPLITTER_RX,2010,0.0124,22.15,0.45,24.1,74,79
404,NM3314210797620100606_ASPEN,2010,0.0168,32.25,16.25,23.8,118,102
405,NM3345810511220100623_DEAD_MAN,2010,0.0178,33.35,16.65,46.4,73,85
406,NM3387910755220100615_FISHER_RX,2010,0.0103,31.15,13.65,29.7,92,97
407,NM3577510672020101009_VIRGIN_CANYON,2010,0.0234,20.95,4.75,54.8,59,65
408,NM3586210676620100601_RIO,2010,0.0096,31.85,11.75,34.1,116,89
409,NM3606710641620100610_SOUTH_FORK,2010,0.0062,25.85,12.75,24,108,95
410,NM3696310515520100523_H12,2010,0.0152,29.25,10.15,33,108,80
411,TX3199010486920100609_CUTOFF,2010,0.0236,37.75,21.35,26.7,114,98
412,AZ3133911054620110523_ARLENE,2011,0.0291,35.65,14.15,18.8,126,104
413,AZ3134011074320110214_DUQUESNE,2011,0.0243,21.85,4.95,17.8,91,88
414,AZ3137911075620110320_DUKE,2011,0.0236,29.05,10.15,30.2,132,92
415,AZ3154111115820110530_MURPHY_COMPLEX,2011,0.0141,34.25,16.25,17.1,115,109
416,AZ3155211041720110612_MONUMENT,2011,0.0104,36.85,17.75,18.7,131,108
417,AZ3182010921120110508_HORSESHOE_2,2011,0.0096,24.15,2.65,13.3,139,106
418,AZ3307311037720110626_STANLEY,2011,0.0112,36.05,18.25,20.5,91,111
419,AZ3331811087020110817_FRIO,2011,0.008,35.15,18.15,54.2,48,61
420,AZ3360210944920110529_WALLOW,2011,0.0044,26.95,6.25,26.3,127,95
421,AZ3383511101020110820_TANNER,2011,0.0059,35.05,19.45,43.1,57,72
422,AZ3446711047420110623_WASH,2011,0.0099,34.55,17.05,22.3,108,106
423,AZ3580711193420110820_ARMSTRONG,2011,0.0326,31.55,13.55,33.8,74,71
424,AZ3585011202320110704_PARALLEL,2011,0.0078,31.55,13.45,50,73,75
425,AZ3598411202120111001_WATSON_2_3_4_RX,2011,0.0277,23.85,7.85,47.8,48,50
426,AZ3599011395020110803_NEW_WATER,2011,0.0115,35.05,19.75,31.3,83,90
427,AZ3621711223520110704_POINT,2011,0.0139,29.85,12.25,48.9,67,75
428,NM3133610881020110330_TRUCK_STOP,2011,0.0094,27.35,7.25,25.6,140,99
429,NM3202810492620110224_DOG_CANYON,2011,0.0187,20.35,6.35,21.1,132,94
430,NM3208610472220110720_LOOKOUT_COMPLEX,2011,0.026,31.05,18.75,46.4,70,85
431,NM3212110468320110806_DINNER,2011,0.0262,33.75,19.55,47.1,61,83
432,NM3217510449020110613_LOOP,2011,0.0109,41.35,21.65,21.9,131,109
433,NM3218910476820110510_QUEEN,2011,0.0127,26.75,11.55,22.7,144,110
434,NM3219910458420110605_SERPENTINE,2011,0.0253,37.15,19.05,21.1,115,108
435,NM3223310475220110424_LAST_CHANCE,2011,0.0193,29.05,11.65,13.6,156,110
436,NM3229310648820110421_ABRAMS,2011,0.0201,28.95,11.75,12.8,121,110
437,NM3234910450720110807_TOMS_CANYON,2011,0.0125,39.25,21.95,49.4,66,85
438,NM3240310490220110720_ACREY,2011,0.0245,35.45,20.75,47.3,67,86
439,NM3257210553420110603_GAGE,2011,0.0236,30.45,12.55,18.8,110,108
440,NM3258910518820110602_WELLS,2011,0.0152,32.15,15.95,16.7,122,111
441,NM3278110553420110628_LITTLE_LEWIS,2011,0.0112,30.55,12.05,45.3,94,102
442,NM3287010548020110509_MAYHILL,2011,0.0158,25.65,6.25,17,136,104
443,NM3304910510820110808_FLYING_H,2011,0.0285,36.25,18.95,38.5,61,81
444,NM3305810489320110506_CROOKED_CREEK,2011,0.0178,29.65,9.85,12.1,125,108
445,NM3307110526320110802_LINCOLNCANYON_COMPLX,2011,0.0194,34.65,17.45,37.7,58,74
446,NM3313310507720110818_CROOKED_COMPLEX,2011,0.0226,35.75,19.45,40.4,76,81
447,NM3314410836920110428_MILLER,2011,0.017,27.75,4.85,15.3,137,103
448,NM3317110540120110628_NUMBER_3,2011,0.0183,32.75,13.75,38.6,105,106
449,NM3322210500120110807_BATON_ROUGE_COMPLEX,2011,0.0152,37.45,20.35,42.7,69,87
450,NM3329610850520110711_JACK_COMPLEX,2011,0.0236,27.95,14.35,44.4,66,74
451,NM3330110523720110628_DONALDSON,2011,0.0111,34.15,15.05,39.8,108,107
452,NM3333310563620110403_WHITE,2011,0.0196,24.85,7.15,19,137,101
453,NM3342610506820110601_RIVERSIDE,2011,0.0183,34.45,15.75,18.2,115,110
454,NM3572810657220110817_GUACAMALLA,2011,0.0181,30.25,15.25,49,45,49
455,NM3581210583720110618_PACHECO,2011,0.0027,23.05,9.35,34.6,106,89
456,NM3581210654120110626_LAS_CONCHAS,2011,0.0039,28.25,12.55,29.6,120,101
457,NM3692010445620110612_TRACK,2011,0.0057,30.85,11.65,18,118,103
458,NM3700010423620110526_BEAR,2011,0.0209,30.45,12.45,21.1,139,100
459,AZ3133311041620120508_SCHOOL_CANYON,2012,0.0158,36.35,14.65,13.4,119,105
460,AZ3178311160920120530_MONTEZUMA,2012,0.0096,35.35,17.15,14.4,115,109
461,AZ3223411047320120616_FOX,2012,0.0284,38.85,20.95,17.5,108,111
462,AZ3256410986820120628_GRAPEVINE,2012,0.0243,36.55,20.75,37.8,105,103
463,AZ3354410988520120511_ELWOOD,2012,0.0171,32.25,9.65,17.2,132,104
464,AZ3389711114620120808_MISTAKE_PEAK,2012,0.0027,35.75,20.45,42.5,66,76
465,AZ3393111147420120512_SUNFLOWER,2012,0.0127,31.45,12.35,15.6,119,105
466,AZ3415011088320120614_POCO,2012,0.0099,33.65,15.35,13,119,114
467,AZ3421511233820120513_GLADIATOR,2012,0.0086,30.85,11.75,16.3,112,104
468,AZ3471811113020120629_CANYON,2012,0.0039,33.45,16.75,40.9,92,98
469,AZ3572811381120120627_BLACK_CANYON,2012,0.0066,39.55,19.85,26.7,104,109
470,AZ3625911206220121027_RANGE_RX,2012,0.0137,17.95,2.35,30,65,74
471,AZ3633311376620120813_PIGEON_CANYON,2012,0.0169,36.55,22.75,32.6,66,91
472,AZ3660111368320120711_HOBBLE_COMPLEX,2012,0.0156,37.15,21.65,24.4,72,106
473,NM3326710859220120509_WHITEWATER_BALDY,2012,0.0027,23.95,7.75,21.7,125,97
474,NM3341910582920120604_LITTLE_BEAR,2012,0.0058,29.25,10.55,23.9,126,98
475,NM3381410620220120322_LOWER_TAYLOR_RX_LP11,2012,0.0226,27.45,8.45,20.3,96,96
476,AZ3143511076720130517_SOLDIER_BASIN,2013,0.0252,31.55,12.85,21.6,108,105
477,AZ3328610958720130607_FOURMILE,2013,0.0277,36.25,17.75,21.6,104,106
478,AZ3339910989520130616_CREEK,2013,0.0082,34.65,19.15,20.7,105,106
479,AZ3343510971420130513_PINE_SALT,2013,0.0165,28.55,8.55,27.5,95,97
480,AZ3422811279120130628_YARNELL_HILL,2013,0.0405,40.25,24.25,18.9,92,110
481,AZ3459511259620130618_DOCE,2013,0.0174,38.95,21.05,23.5,114,106
482,AZ3511911386220130629_DEAN_PEAK,2013,0.0169,37.05,22.35,20.4,99,107
483,AZ3589811315620130801_PROSPECT,2013,0.0085,30.75,14.25,35.2,62,78
484,AZ3591311201420130726_SKINNER,2013,0.0258,30.25,12.85,64.9,56,51
485,AZ3596311382420130701_BEAVER,2013,0.0212,38.65,22.35,23.1,99,109
486,AZ3641611351820130702_DEWDROP,2013,0.0125,37.75,21.05,23.5,103,109
487,AZ3676111223020130912_COOPER_FIRE_FY13,2013,0.0308,23.35,10.05,59.2,56,40
488,NM3288810780920130607_SILVER,2013,0.0057,31.45,14.65,21.1,108,102
489,NM3571510568020130530_TRES_LAGUNAS,2013,0.0053,28.85,8.45,24,115,90
490,NM3589210662020130531_THOMPSON_RIDGE,2013,0.007,30.55,11.45,22.2,109,100
491,NM3591110572720130610_JAROSO,2013,0.0034,24.25,6.85,24.1,86,85
492,NM3635110502720130613_WHITES_PEAK,2013,0.0088,32.75,11.55,19.5,108,101
493,AZ3269411028920140617_OAK,2014,0.0103,31.35,19.65,28.2,97,100
494,AZ3330610975220140517_BARLOW,2014,0.0122,31.75,13.55,22.4,97,98
495,AZ3341710997520140419_SKUNK,2014,0.0104,25.35,8.35,25.9,96,93
496,AZ3350010980820140523_BLACK_RIVER_TANK,2014,0.0194,34.05,13.65,25.4,92,99
497,AZ3406011035120140617_DEHOSE,2014,0.0159,34.85,16.45,23.4,124,106
498,AZ3413810967520140626_SAN_JUAN,2014,0.0043,30.05,11.95,44.8,108,92
499,AZ3448811122620140705_GENERAL,2014,0.014,27.75,14.35,47.4,56,62
500,AZ3475611106120140614_JACK,2014,0.0187,30.35,15.05,19.9,142,101
501,AZ3486011152620140706_BAR_M,2014,0.0112,27.85,12.85,56.2,51,61
502,AZ3495311175320140520_SLIDE,2014,0.0115,30.45,11.05,21.8,112,98
503,AZ3498711198720140711_WILLARD,2014,0.0173,31.85,15.65,48.2,63,74
504,AZ3532511198020140815_WILDFIRE_SITGREAVES_FY14,2014,0.0146,27.15,10.65,75.9,31,33
505,AZ3588311194020140830_WILDFIRE_HAMMER_FY14,2014,0.0215,28.65,12.05,61.3,49,49
506,AZ3593311195020140704_MCRAE_COMPLEX,2014,0.0108,30.35,12.55,65.7,61,61
507,AZ3628411223620140523_GALAHAD,2014,0.017,28.05,11.05,19.7,83,94
508,NM3250410772520140610_2_HL_COOKES_RANGE_1_EAST,2014,0.0215,31.65,16.05,26.8,106,103
509,NM3293110814820140511_SIGNAL,2014,0.0046,25.25,12.25,18.8,131,98
510,NM3411310842020140506_UNNAMED,2014,0.0153,25.95,9.55,19.9,105,96
511,NM3465210780320140502_2_MERTZ_RX,2014,0.0362,24.25,3.65,40.9,93,79
512,NM3574710658020140813_PINO,2014,0.006,28.65,12.75,76.9,32,37
513,NM3599610892020140613_ASSAYII_LAKE,2014,0.0059,24.65,8.45,23.3,145,100
514,NM3607710673020140625_DIEGO,2014,0.0059,30.75,14.15,29,96,92
515,AZ3150310908920150617_HOG,2015,0.0229,35.55,19.35,30.2,87,93
516,AZ3357411024620150616_WHITETAIL,2015,0.0145,36.05,16.85,22.3,91,95
517,AZ3401111007620150828_PLAYGROUND,2015,0.0157,29.55,12.85,68.4,36,50
518,AZ3431611226820150802_SA_HILL,2015,0.0178,36.95,21.95,45,66,79
519,AZ3449111148820150606_HORSE_TANK,2015,0.0205,32.05,17.55,18,81,89
520,AZ3491611139320150614_CAMILLO,2015,0.0201,30.75,13.85,33.5,75,81
521,AZ3511111215420150702_SPRINGS,2015,0.0215,29.25,14.15,65.2,67,63
522,AZ3587911183020150731_ROCK,2015,0.0253,31.45,12.25,55.3,59,56
523,AZ3587911195320150629_MASON_JAR_COMPLEX,2015,0.0172,31.95,13.75,72.8,58,70
524,AZ3628611317320150624_MOUNT_EMMA,2015,0.0136,34.85,17.25,26.9,73,88
525,AZ3637611318720150715_HIGH_MEADOW,2015,0.016,29.05,13.85,35.4,76,77
526,AZ3641511228320150615_LOCUST,2015,0.0243,30.15,12.55,34.2,58,70
527,NM3146610903420150602_GUADALUPE,2015,0.0205,32.55,17.05,22.6,87,96
528,NM3368910849720150616_PINON,2015,0.0165,33.05,14.55,25.7,66,87
529,NM3375610745620150615_RED_CANYON,2015,0.0141,32.05,16.65,31.1,60,73
530,NM3553810546220150606_COMMISSARY,2015,0.0223,30.95,14.55,53,51,61
531,NM3699310709220150818_NAVAJO_RIVER,2015,0.0062,29.05,12.25,44.4,58,66
532,AZ3177311155720160618_BROWN,2016,0.0206,40.65,23.85,19.3,91,100
533,AZ3367210971820160509_LION,2016,0.027,24.95,6.85,34.5,95,79
534,AZ3392311092420160520_JUNIPER,2016,0.0094,30.05,16.55,21,86,91
535,AZ3405511018420160615_CEDAR,2016,0.0054,36.25,17.55,26.1,92,95
536,AZ3416510954120160416_HIDAWAY,2016,0.0151,20.85,4.05,46.8,105,69
537,AZ3423011026020160324_RX_MCCLEAVE_UNIT_FY16,2016,0.0255,22.75,6.05,33.8,88,80
538,AZ3423911030720160915_FILL,2016,0.0189,28.95,12.55,30.7,72,77
539,AZ3430011091020160912_FULTON,2016,0.0143,28.05,13.45,26.8,78,74
540,AZ3442811083120160904_SAM_JIM,2016,0.0185,27.65,12.65,34.3,67,70
541,AZ3448811140320160519_PIVOT_ROCK,2016,0.0096,28.75,8.05,34.4,97,83
542,AZ3474411139720160529_JACK,2016,0.0183,30.75,12.55,30.1,94,86
543,AZ3494711153620160515_MORMON,2016,0.0273,20.95,6.05,49.8,75,66
544,AZ3555211193620160529_BERT,2016,0.0036,33.25,12.95,36.9,94,82
545,AZ3593411190320160628_SCOTT,2016,0.0027,32.05,14.65,43.7,104,81
546,AZ3626611202520160629_FULLER,2016,0.0068,32.05,14.15,36.8,102,89
547,AZ3636611198720160613_WILDCAT,2016,0.0093,34.55,19.05,27,98,94
548,NM3311410807620160704_TIMBER,2016,0.0247,32.85,17.75,40.9,79,81
549,NM3344110857020160709_SCHOOL,2016,0.0141,29.15,13.85,46.5,75,75
550,NM3378810742520160521_NORTH,2016,0.0091,27.85,12.85,30.7,72,78
551,NM3481110637520160614_DOG_HEAD,2016,0.0035,31.85,12.55,32.2,75,80
552,NM3573710474620160721_MARSH,2016,0.018,35.75,15.35,61.9,45,52
553,NM3579010672020160930_WILDFIRE_BERT_FY_16,2016,0.0109,22.65,8.25,48.9,65,58
554,NM3679710510620161108_VALLE_VIDAL_RX_WHITMAN_VEGA,2016,0.0385,20.25,0.95,38.5,72,60
555,AZ3158910942720170624_SADDLE,2017,0.0232,36.65,20.75,30.4,84,101
556,AZ3168110952420170628_SWISSHELMS,2017,0.0153,35.85,20.85,31.1,88,100
557,AZ3200911000720170607_LIZARD,2017,0.019,40.55,21.55,19.9,97,104
558,AZ3215510942720170607_BOWIE,2017,0.0178,39.15,22.35,17.4,103,105
559,AZ3221410948420170704_SHEEP,2017,0.0287,37.35,21.55,46.5,82,93
560,AZ3237411063220170630_BURRO,2017,0.0163,31.55,17.95,26.1,88,103
561,AZ3259911025320170606_PADDYS_RIVER_RX,2017,0.0206,37.05,23.05,18.8,96,105
562,AZ3273510987220170607_FRYE,2017,0.0069,26.85,17.55,20,98,101
563,AZ3328111080620170508_PINAL,2017,0.0099,27.95,12.65,25.7,89,93
564,AZ3363411037520170625_HILLTOP,2017,0.015,34.15,17.65,21.1,103,107
565,AZ3381210982120171103_SEVEN_MILE_PRESCRIBED_BURN,2017,0.0249,21.55,7.15,44.1,97,74
566,AZ3414811196320170707_BROOKLYN,2017,0.0212,40.05,22.75,31.7,76,105
567,AZ3415110985620170501_WHITCOM_RX,2017,0.0184,26.25,9.45,46.3,90,68
568,AZ3418411084820171201_UNNAMED,2017,0.0181,14.65,4.95,20.3,110,92
569,AZ3435811237320170624_GOODWIN,2017,0.0108,37.75,20.75,23.2,109,104
570,AZ3439711120120170610_HIGHLINE,2017,0.0168,33.85,17.45,21.1,119,97
571,AZ3442311084220170601_SLIM,2017,0.0102,29.75,12.45,20,116,99
572,AZ3447811108720171006_33_SPRINGS,2017,0.0187,22.55,7.05,31.3,97,82
573,AZ3460211145720170519_SNAKE_RIDGE,2017,0.0172,26.05,10.45,28.8,98,81
574,AZ3461111117620171206_BRUI_RX_MAINT_FY18,2017,0.0139,13.25,-4.45,34.6,88,70
575,AZ3531211207820171019_UNNAMED,2017,0.0177,23.95,6.65,37.5,105,82
576,AZ3543211183120170601_BOUNDARY,2017,0.0082,28.75,8.25,35.8,109,82
577,AZ3594011201120171121_REED_RX_FY_18,2017,0.0163,22.55,2.45,48.6,86,63
578,AZ3603811210120170604_LONG_JIM_III,2017,0.0225,33.75,12.95,38.2,100,84
579,AZ3631111214520171017_ROOST_FAWN_SPRING_TIPOVER_E_FY18_RX,2017,0.0169,20.05,5.55,34.6,79,81
580,AZ3631111214520171101_ROOST_FY18_SLOPES_RX,2017,0.0157,13.95,2.45,49.5,57,64
581,AZ3662811235020171115_MOQUITCH_3_RX_FY_18,2017,0.0253,20.05,5.35,34.6,78,72
582,AZ3679911224820170523_BASIN_RX,2017,0.0189,28.25,14.25,25.4,84,80
583,NM3317810812420170605_CORRAL,2017,0.0349,34.65,15.15,27.2,82,85
584,NM3331910790420170606_ROUND,2017,0.0169,32.05,18.85,17.8,87,90
585,NM3341610862820170609_GRAVEL,2017,0.0251,30.95,15.25,21.7,89,89
586,NM3343010856820170607_TEACHER,2017,0.0248,31.55,14.95,22.1,93,89
587,NM3377310786020170529_LUERA_TREX_RX,2017,0.0146,28.85,13.35,38.2,86,82
588,NM3381110847620170501_KERR,2017,0.0112,24.85,7.25,44.4,76,76
589,NM3418110840420170512_BACA,2017,0.0138,26.95,8.65,32.4,97,81
590,NM3581510657020170615_CAJETE,2017,0.0103,31.05,14.35,25.2,91,86
591,NM3583710660220171024_BANCO_BONITO_RX,2017,0.0251,16.35,6.95,52,68,57
592,NM3658410614620170701_BONITA_NM_CAF_000152,2017,0.0086,28.95,12.05,41.7,57,84
593,NM3661310619920170603_BONITA,2017,0.0086,28.85,12.05,32.3,80,82
